,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
337,Kununurra,-15.7667,128.7333,84.2,84,71,6.91,broken clouds
338,Calama,-22.4667,-68.9333,46.4,53,0,12.66,clear sky
339,Sovetskiy,61.3614,63.5842,-23.48,85,100,9.22,overcast clouds
340,Ishigaki,24.3448,124.1572,73.4,94,75,9.22,broken clouds
341,Andra,62.5147,65.8878,-30.06,82,14,7.27,few clouds
342,Kurilsk,45.2333,147.8833,17.78,91,99,17.85,overcast clouds
343,Bloomingdale,27.8936,-82.2404,57.0,82,1,3.44,clear sky
344,Kirakira,-10.4544,161.9205,82.78,72,100,9.31,overcast clouds
345,Isangel,-19.55,169.2667,78.8,94,90,5.75,light rain
346,Olga,43.7444,135.2892,22.05,74,0,9.15,clear sky
347,Nuuk,64.1835,-51.7216,23.0,80,20,2.3,few clouds
348,Kiunga,-6.1219,141.2906,92.23,53,79,1.99,broken clouds
349,Chapais,49.7834,-74.8492,5.0,85,90,9.22,light snow
350,Canillo,42.5833,1.6667,45.0,92,95,9.6,overcast clouds
351,Oropesa,-13.5928,-71.7719,49.44,72,99,4.79,overcast clouds
352,Beyneu,45.3167,55.2,19.65,84,100,11.5,overcast clouds
353,Zhanakorgan,43.9098,67.2495,15.33,89,100,7.29,overcast clouds
354,Iskateley,67.6803,53.1512,-27.76,83,65,7.74,broken clouds
355,Oskaloosa,41.2964,-92.6444,24.8,68,1,17.27,clear sky
356,Saint-Pierre,-21.3393,55.4781,87.8,66,0,12.66,light rain
357,Port Elizabeth,-33.918,25.5701,77.0,73,0,5.75,clear sky
358,Zhigalovo,54.8097,105.1578,4.75,89,100,2.3,overcast clouds
359,Praia,14.9215,-23.5087,69.8,73,75,18.41,broken clouds
360,Rafai,4.95,23.9167,76.23,20,90,4.85,overcast clouds
361,Goma,-1.6792,29.2228,64.4,77,75,9.22,light rain
362,Murgab,37.4966,61.9714,30.2,80,90,5.06,overcast clouds
363,Arlit,18.7369,7.3853,60.24,30,0,4.88,clear sky
364,Bull Savanna,17.8868,-77.5902,70.66,81,0,6.49,clear sky
365,Mount Gambier,-37.8333,140.7667,73.4,46,39,12.66,scattered clouds
366,Tilichiki,60.4667,166.1,-4.18,92,100,9.31,overcast clouds
367,Henties Bay,-22.116,14.2845,67.17,85,99,4.05,overcast clouds
368,Tezu,27.9167,96.1667,75.04,30,0,3.51,clear sky
369,Matamoros,25.5333,-103.25,65.97,51,0,12.33,clear sky
370,Egvekinot,66.3167,-179.1667,-10.59,92,100,10.58,light snow
371,Fairbanks,64.8378,-147.7164,1.4,78,75,3.44,broken clouds
372,Goderich,43.7501,-81.7165,33.8,75,100,17.27,light snow
373,Coihaique,-45.5752,-72.0662,53.6,76,0,5.75,clear sky
374,Kalevala,65.2,31.1667,4.6,93,100,14.09,light snow
375,Kalmunai,7.4167,81.8167,83.41,70,43,9.15,scattered clouds
376,Jining,35.405,116.5814,51.04,47,100,3.69,overcast clouds
377,Fairview,40.8126,-73.999,39.2,52,1,5.75,clear sky
