,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
323,Rocha,UY,-34.4833,-54.3333,65.73,88,3,5.95,clear sky
324,Sal Rei,CV,16.1833,-22.9167,71.6,73,0,11.5,clear sky
325,Leua,SK,48.2156,18.6071,50.0,88,100,5.99,light rain
326,Oranjestad,AW,12.524,-70.027,77.0,83,20,12.66,few clouds
327,Mandurah,AU,-32.55,115.7,81.0,63,0,1.01,clear sky
328,Puerto Escondido,MX,15.85,-97.0667,75.97,64,0,5.23,clear sky
329,Lebu,CL,-37.6167,-73.65,58.95,88,0,17.76,clear sky
330,Sokode,TG,8.9833,1.1333,75.2,27,51,6.91,haze
331,Boa Vista,BR,2.8197,-60.6733,77.0,78,0,9.22,clear sky
332,Leshukonskoye,RU,64.8989,45.7622,-14.06,88,49,4.65,scattered clouds
333,Tambacounda,SN,13.7539,-13.7586,84.2,13,0,11.5,clear sky
334,Salta,AR,-24.7859,-65.4117,64.4,72,0,2.3,light rain
335,Sisimiut,GL,66.9395,-53.6735,19.11,79,0,4.97,clear sky
336,Sabha,LY,27.0377,14.4283,58.03,33,0,6.06,clear sky
337,Necochea,AR,-38.5473,-58.7368,70.0,84,0,16.04,clear sky
338,Longyearbyen,SJ,78.2186,15.6401,12.2,67,20,14.97,few clouds
339,Norden,DE,53.6,7.2,41.0,81,10,5.99,clear sky
340,Hithadhoo,MV,-0.6,73.0833,83.03,69,0,8.81,clear sky
341,Praia,CV,14.9215,-23.5087,77.0,53,0,18.41,clear sky
342,Ambon,ID,-3.6954,128.1814,84.2,79,40,3.44,scattered clouds
343,Barcelos,PT,41.5388,-8.6151,51.8,87,75,9.22,moderate rain
344,Lensk,RU,60.7253,114.9278,-33.88,81,99,3.15,overcast clouds
345,San Vicente,AR,-26.6167,-54.1333,65.68,97,58,3.09,broken clouds
346,Quesnel,CA,52.9999,-122.5029,12.2,92,90,0.81,overcast clouds
347,Kargasok,RU,59.0556,80.8572,-8.81,91,98,4.21,overcast clouds
348,Tura,IN,25.5198,90.2201,72.01,43,17,3.71,few clouds
